uid,play_count,active_duration_s,churn,mean_score,sd_score,best_score,worst_score,best_score_index,best_sub_mean_count,best_sub_mean_ratio,consecutive_play_ratio,median_gap,avg_queue_duration,failure_count,failure_ratio,purchase_count,highest_price,recency_last_purchase,purchase_rate
24DCF611502E33E6F94B31B7D98363AB0A3C22F2,3,104084.0,1,1287.0,18.0,1305.0,1269.0,1.0,9.0,0.013986013986013986,0.0,52042.0,11700.0,0,0.0,7,680.0,327916,2.3333333333333335
B21AC406B0734EC9A4712D7B35194A208A68124A,8,287864.0,1,943.4,454.1773221991604,1352.0,361.0,0.75,81.72,0.43311426754292986,0.42857142857142855,29645.0,4152400.0,2,0.25,0,0.0,432000,0.0
27A663EAAD99BBEB41C8EC40CB36C962AC6E4AA7,3,0.0,1,724.0,545.0,1269.0,179.0,1.0,272.5,0.7527624309392266,1.0,0.0,47666.666666666664,1,0.3333333333333333,0,0.0,432000,0.0
92CB512D817B84EC46E973D5D2B2AF9E02972BA7,8,304093.0,1,872.6,492.1823239410371,1363.0,171.0,1.0,98.08,0.5619986247994498,0.42857142857142855,42925.0,34538.46153846154,2,0.25,1,400.0,313162,0.125
4D01A3B806047C6ADEC0BB9ECCDE5217D75A151D,3,80869.0,1,1293.5,24.5,1318.0,1269.0,1.0,12.25,0.018940858136838035,0.0,40434.5,28772.727272727272,0,0.0,1,400.0,351131,0.3333333333333333
5D4BC028CEE3690F625B5B015F8081EB8491D948,20,370778.0,1,390.54545454545456,467.8425072289263,1312.0,24.0,0.1,83.76859504132231,2.3594040968342647,0.6842105263157895,0.0,17629.62962962963,8,0.4,7,488.0,339339,0.35
6B7DCD41353221E22EC3FA554941F79F8A046AF8,8,204329.0,1,822.6,609.7306290485989,1372.0,39.0,1.0,109.88,0.6678823243374665,0.5714285714285714,0.0,30272.727272727272,2,0.25,1,400.0,338474,0.125
DD52DCBB3D41493316CFCB15D5F703BFD5D3DB1D,18,316956.0,1,592.3,517.189916761725,1626.0,33.0,0.8888888888888888,103.37,1.7452304575384099,0.7058823529411765,0.0,37210.52631578947,4,0.2222222222222222,1,400.0,312285,0.05555555555555555
ACF810E1357579EFB7CE69A8531DACC7591FE5E1,17,409389.0,0,905.6,398.5210659425672,1545.0,221.0,1.0,63.94,0.7060512367491165,0.5625,0.0,12857760.0,2,0.11764705882352941,3,5000.0,22611,0.17647058823529413
958E891F53232D350D0FEA62A203182BAF0E2CE6,9,368822.0,0,1047.8,274.31470977692754,1305.0,553.0,0.25,51.44000000000001,0.24546669211681624,0.25,52227.5,24718.75,1,0.1111111111111111,10,5000.0,63178,1.1111111111111112
CC7996392E880B545C56D2C51F2FE84BF96F0185,5,205562.0,1,932.6666666666666,497.72839536795124,1300.0,229.0,0.5,122.44444444444446,0.39385275196568986,0.25,41657.5,33833.333333333336,1,0.2,1,400.0,348685,0.2
DFFFDDC80647474375388199D7C20B2F8DD5AC86,10,380713.0,1,1228.0,405.57613342010154,1557.0,351.0,0.4,54.833333333333336,0.2679153094462541,0.4444444444444444,15237.0,19086.956521739132,1,0.1,7,5000.0,51287,0.7
F41C3B7B428C9CFFFBE368AA3136A84804B5FA6B,4,274888.0,0,1180.0,152.0328911781921,1305.0,966.0,0.5,41.666666666666664,0.1059322033898305,0.3333333333333333,47399.0,14235.29411764706,0,0.0,5,488.0,304315,1.25
